ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDistractionFlag,ConfirmedPhoneUse,ConfirmedHeadLeft,ConfirmedHeadRight,ConfirmedHeadDown,ConfirmedPassengerTalk,ConfirmedCenterConsole,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P02_distraction,21.865,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,0
P02_distraction,22.966,1.101,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0.8,0
P02_distraction,24.056,2.191,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,3.4,0
P02_distraction,25.2,3.335,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,5.4,0
P02_distraction,26.302,4.437,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,7.4,0
P02_distraction,27.37,5.505,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,8.6,0
P02_distraction,28.376,6.511,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,9.4,0
P02_distraction,29.416,7.551,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,10.2,1
P02_distraction,30.47,8.605,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,14.6,1
P02_distraction,31.509,9.644,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,16.4,1
P02_distraction,32.51,10.645,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,18,1
P02_distraction,33.588,11.723,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.4,1
P02_distraction,34.638,12.773,FACE_NOT_VISIBLE_OR_SEARCHING,0,0,0,0,0,0,0,0,0,0,18.8,1
P02_distraction,35.693,13.828,FACE_NOT_VISIBLE_OR_SEARCHING,0,0,0,0,0,0,0,0,0,0,18.6,1
P02_distraction,36.724,14.859,FACE_NOT_VISIBLE_OR_SEARCHING,0,0,0,0,0,0,0,0,0,0,18.6,1
P02_distraction,37.765,15.9,FACE_NOT_VISIBLE_OR_SEARCHING,0,0,0,0,0,0,0,0,0,0,18.8,1
P02_distraction,38.829,16.964,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,39.88,18.015,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,40.905,19.04,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,41.96,20.095,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,42.974,21.109,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,44,22.135,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.4,1
P02_distraction,45.122,23.257,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,46.133,24.268,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,47.204,25.339,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,48.218,26.353,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,19.4,1
P02_distraction,49.351,27.486,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,50.388,28.523,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,51.423,29.558,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,19.4,1
P02_distraction,52.505,30.64,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,53.564,31.699,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.4,1
P02_distraction,54.708,32.843,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.6,1
P02_distraction,55.731,33.866,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.8,1
P02_distraction,56.747,34.882,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.6,1
P02_distraction,57.824,35.959,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.6,1
P02_distraction,58.84,36.975,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,59.925,38.06,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,60.934,39.069,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,61.955,40.09,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,63.062,41.197,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,64.248,42.383,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,65.296,43.431,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19.2,1
P02_distraction,66.361,44.496,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,67.379,45.514,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,68.442,46.577,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,69.471,47.606,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,70.475,48.61,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,71.517,49.652,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,72.526,50.661,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,73.546,51.681,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,74.55,52.685,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,0,0,0,0,19,1
P02_distraction,75.586,53.721,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,0,0,0,0,19,1
P02_distraction,76.69,54.825,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,77.72,55.855,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,78.752,56.887,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,79.791,57.926,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,80.831,58.966,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,81.87,60.005,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,82.894,61.029,DISTRACTION_AUDIO_ALERT,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,83.907,62.042,DISTRACTION_AUDIO_ALERT,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,84.927,63.062,DISTRACTION_AUDIO_ALERT,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,85.978,64.113,DISTRACTION_AUDIO_ALERT,1,1,1,0,0,0,1,0,0,0,19,1
P02_distraction,87.088,65.223,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,88.09,66.225,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,89.115,67.25,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,90.147,68.282,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,91.212,69.347,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,92.221,70.356,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,93.321,71.456,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19,1
P02_distraction,94.324,72.459,DISTRACTION_PHONE_DETECTED,1,1,0,1,0,0,0,0,0,0,19,1
P02_distraction,95.486,73.621,DISTRACTION_PHONE_DETECTED,1,1,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,96.518,74.653,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,97.628,75.763,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,98.648,76.783,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,99.784,77.919,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,100.807,78.942,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19,1
P02_distraction,101.907,80.042,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.2,1
P02_distraction,102.934,81.069,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,104.086,82.221,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,105.132,83.267,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19.4,1
P02_distraction,106.253,84.388,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,107.268,85.403,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,108.312,86.447,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,109.433,87.568,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,110.503,88.638,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,111.639,89.774,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,112.655,90.79,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,113.723,91.858,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.2,1
P02_distraction,114.762,92.897,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,115.872,94.007,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,116.971,95.106,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,117.998,96.133,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,118.999,97.134,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,120.015,98.15,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,121.036,99.171,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,122.093,100.228,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,123.119,101.254,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,124.123,102.258,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,125.126,103.261,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,126.187,104.322,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,127.221,105.356,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,128.293,106.428,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,129.437,107.572,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,130.453,108.588,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,131.454,109.589,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,132.524,110.659,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,133.534,111.669,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,134.712,112.847,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,135.722,113.857,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,136.791,114.926,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,137.81,115.945,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,138.914,117.049,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,19,1
P02_distraction,139.927,118.062,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,140.952,119.087,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,141.964,120.099,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,142.976,121.111,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,144.018,122.153,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,145.043,123.178,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,146.174,124.309,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19,1
P02_distraction,147.314,125.449,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,19,1
P02_distraction,148.363,126.498,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,149.494,127.629,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,150.505,128.64,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,151.614,129.749,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,152.76,130.895,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,153.886,132.021,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,19,1
P02_distraction,154.907,133.042,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,19,1
P02_distraction,155.921,134.056,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,157.077,135.212,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,158.164,136.299,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,159.252,137.387,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,160.261,138.396,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19,1
P02_distraction,161.335,139.47,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,162.336,140.471,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,163.347,141.482,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,164.468,142.603,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,165.521,143.656,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,166.609,144.744,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,167.785,145.92,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,168.803,146.938,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,169.869,148.004,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
P02_distraction,170.966,149.101,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,19,1
