ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDistractionFlag,ConfirmedPhoneUse,ConfirmedHeadLeft,ConfirmedHeadRight,ConfirmedHeadDown,ConfirmedPassengerTalk,ConfirmedCenterConsole,MedicalEmergencyConfirmed,CriticalUnresponsive,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P05_distraction1,13.056,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,0,0
P05_distraction1,14.121,1.065,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,1,0
P05_distraction1,15.15,2.094,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,2.2,0
P05_distraction1,16.191,3.135,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,5.2,0
P05_distraction1,17.29,4.234,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,6.8,0
P05_distraction1,18.329,5.273,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,7.4,0
P05_distraction1,19.402,6.346,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,8.2,0
P05_distraction1,20.443,7.387,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,10,1
P05_distraction1,21.457,8.401,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,12.6,1
P05_distraction1,22.48,9.424,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,14,1
P05_distraction1,23.493,10.437,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,17,1
P05_distraction1,24.599,11.543,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,20.6,1
P05_distraction1,25.622,12.566,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,25.8,1
P05_distraction1,26.633,13.577,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,28.6,1
P05_distraction1,27.768,14.712,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,29.6,1
P05_distraction1,28.81,15.754,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,29.6,1
P05_distraction1,29.931,16.875,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,0,29,1
P05_distraction1,30.951,17.895,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,0,28.6,1
P05_distraction1,32.103,19.047,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,0,28.6,1
P05_distraction1,33.13,20.074,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,0,29,1
P05_distraction1,34.173,21.117,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29,1
P05_distraction1,35.216,22.16,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29,1
P05_distraction1,36.35,23.294,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.2,1
P05_distraction1,37.418,24.362,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.4,1
P05_distraction1,38.428,25.372,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,29.6,1
P05_distraction1,39.469,26.413,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,29.8,1
P05_distraction1,40.593,27.537,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,30,1
P05_distraction1,41.644,28.588,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,30,1
P05_distraction1,42.795,29.739,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,30,1
P05_distraction1,43.797,30.741,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,0,30,1
P05_distraction1,44.869,31.813,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,30,1
P05_distraction1,45.934,32.878,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,30,1
P05_distraction1,46.999,33.943,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,30,1
P05_distraction1,48.019,34.963,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,30,1
P05_distraction1,49.141,36.085,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,29.8,1
P05_distraction1,50.218,37.162,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,51.224,38.168,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.6,1
P05_distraction1,52.232,39.176,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.6,1
P05_distraction1,53.256,40.2,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,54.289,41.233,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,55.323,42.267,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,29.8,1
P05_distraction1,56.396,43.34,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,0,29.8,1
P05_distraction1,57.445,44.389,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,0,29.6,1
P05_distraction1,58.522,45.466,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,0,29.4,1
P05_distraction1,59.573,46.517,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,0,29.2,1
P05_distraction1,60.66,47.604,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,29.4,1
P05_distraction1,61.708,48.652,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,0,29.4,1
P05_distraction1,62.761,49.705,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.6,1
P05_distraction1,63.8,50.744,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,64.888,51.832,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,65.927,52.871,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,66.962,53.906,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,30,1
P05_distraction1,67.982,54.926,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,30,1
P05_distraction1,69.041,55.985,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,30,1
P05_distraction1,70.091,57.035,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,0,30,1
P05_distraction1,71.108,58.052,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,0,30,1
P05_distraction1,72.193,59.137,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,73.32,60.264,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,74.378,61.322,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,75.409,62.353,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,76.442,63.386,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,77.454,64.398,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,78.565,65.509,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,79.622,66.566,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,80.641,67.585,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,81.682,68.626,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,82.777,69.721,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,83.821,70.765,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,84.967,71.911,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,85.968,72.912,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,87.05,73.994,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,88.064,75.008,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,89.224,76.168,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,90.357,77.301,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,91.375,78.319,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,92.381,79.325,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,93.403,80.347,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,94.421,81.365,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,30,1
P05_distraction1,95.465,82.409,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,27.6,1
P05_distraction1,96.483,83.427,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,28,1
P05_distraction1,97.581,84.525,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,28.6,1
P05_distraction1,98.597,85.541,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,29.8,1
P05_distraction1,99.688,86.632,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,31.4,1
P05_distraction1,100.691,87.635,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,33.4,1
P05_distraction1,101.793,88.737,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,34.2,1
P05_distraction1,102.849,89.793,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,0,35,1
P05_distraction1,103.928,90.872,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,0,0,0,0,0,35,1
P05_distraction1,105.011,91.955,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,0,36,1
P05_distraction1,106.126,93.07,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,0,36.8,1
P05_distraction1,107.234,94.178,DISTRACTION_PHONE_DETECTED,1,1,1,0,0,0,1,0,0,0,0,36.8,1
P05_distraction1,108.33,95.274,DISTRACTION_AUDIO_ALERT,1,1,1,0,0,0,1,0,0,0,0,37,1
P05_distraction1,109.357,96.301,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,37,1
P05_distraction1,110.388,97.332,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,37,1
P05_distraction1,111.432,98.376,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,37,1
P05_distraction1,112.46,99.404,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,37,1
P05_distraction1,113.486,100.43,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,37,1
P05_distraction1,114.503,101.447,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,37.2,1
P05_distraction1,115.6,102.544,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,37.2,1
P05_distraction1,116.605,103.549,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,0,0,0,0,0,0,0,37.2,1
P05_distraction1,117.658,104.602,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,0,0,0,0,0,0,0,37.2,1
