ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,FaceFound,SpeedDisplayKmh,AlertsEnabled
P01_drowsiness,42.967,0,DISTRACTION_CONFIRMED,0,0,0,0,0,1,0,0
P01_drowsiness,44.001,1.034,ATTENTIVE_NORMAL,0,0,0,0,0,1,3.4,0
P01_drowsiness,45.139,2.172,ATTENTIVE_NORMAL,0,0,0,0,0,1,5.2,0
P01_drowsiness,46.169,3.202,ATTENTIVE_NORMAL,0,0,0,0,0,1,7,0
P01_drowsiness,47.178,4.211,ATTENTIVE_NORMAL,0,0,0,0,0,1,8.6,0
P01_drowsiness,48.188,5.221,DISTRACTION_CONFIRMED,0,0,0,0,0,1,8.6,0
P01_drowsiness,49.191,6.224,DISTRACTION_CONFIRMED,0,0,0,0,0,1,8.4,0
P01_drowsiness,50.291,7.324,ATTENTIVE_NORMAL,0,0,0,0,0,1,8.6,0
P01_drowsiness,51.382,8.415,ATTENTIVE_NORMAL,0,0,0,0,0,1,9,0
P01_drowsiness,52.392,9.425,DISTRACTION_CONFIRMED,0,0,0,0,0,1,13,1
P01_drowsiness,53.431,10.464,DISTRACTION_CONFIRMED,0,0,0,0,0,1,14.6,1
P01_drowsiness,54.509,11.542,DISTRACTION_CONFIRMED,0,0,0,0,0,1,15.8,1
P01_drowsiness,55.518,12.551,DISTRACTION_CONFIRMED,1,0,0,0,0,1,16.8,1
P01_drowsiness,56.56,13.593,DISTRACTION_CONFIRMED,1,0,0,0,0,1,16.4,1
P01_drowsiness,57.568,14.601,DISTRACTION_CONFIRMED,1,0,0,0,0,1,16.4,1
P01_drowsiness,58.715,15.748,DISTRACTION_CONFIRMED,1,0,0,0,0,1,16.6,1
P01_drowsiness,59.732,16.765,DISTRACTION_CONFIRMED,1,0,0,0,0,1,16.8,1
P01_drowsiness,60.778,17.811,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,1,17,1
P01_drowsiness,61.782,18.815,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,1,17,1
P01_drowsiness,62.913,19.946,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,1,17,1
P01_drowsiness,63.922,20.955,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,1,17,1
P01_drowsiness,64.931,21.964,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,1,17,1
P01_drowsiness,66.113,23.146,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,1,17,1
P01_drowsiness,67.16,24.193,DISTRACTION_CONFIRMED,0,1,0,0,0,1,17,1
P01_drowsiness,68.296,25.329,DISTRACTION_CONFIRMED,0,1,0,0,0,1,16.8,1
P01_drowsiness,69.378,26.411,ATTENTIVE_NORMAL,1,1,0,0,0,1,17.2,1
P01_drowsiness,70.385,27.418,ATTENTIVE_NORMAL,1,1,0,0,0,1,18,1
P01_drowsiness,71.503,28.536,DISTRACTION_CONFIRMED,1,1,0,0,0,1,18.8,1
P01_drowsiness,72.682,29.715,ATTENTIVE_NORMAL,1,1,0,0,0,1,19.8,1
P01_drowsiness,73.72,30.753,ATTENTIVE_NORMAL,1,1,0,0,0,1,20.6,1
P01_drowsiness,74.723,31.756,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,1,20.6,1
P01_drowsiness,75.894,32.927,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,1,20.4,1
P01_drowsiness,76.903,33.936,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,1,20,1
