ExperimentName,ElapsedSeconds,ADJUSTED TIME,FinalSystemDecision,MedicalEmergencyConfirmed,CriticalUnresponsive,HazardRequest,BrakeRequest,FaceFound,SpeedDisplayKmh,AlertsEnabled
P01_medical,38.134,0,DISTRACTION_CONFIRMED,0,0,0,0,1,0,0
P01_medical,39.215,1.081,ATTENTIVE_NORMAL,0,0,0,0,1,1.6,0
P01_medical,40.324,2.19,ATTENTIVE_NORMAL,0,0,0,0,1,3.2,0
P01_medical,41.366,3.232,ATTENTIVE_NORMAL,0,0,0,0,1,5,0
P01_medical,42.371,4.237,ATTENTIVE_NORMAL,0,0,0,0,1,6.6,0
P01_medical,43.394,5.26,ATTENTIVE_NORMAL,0,0,0,0,1,8.2,0
P01_medical,44.398,6.264,ATTENTIVE_NORMAL,0,0,0,0,1,8.2,0
P01_medical,45.436,7.302,ATTENTIVE_NORMAL,0,0,0,0,1,8.2,0
P01_medical,46.437,8.303,ATTENTIVE_NORMAL,0,0,0,0,1,9,0
P01_medical,47.453,9.319,ATTENTIVE_NORMAL,0,0,0,0,1,10.4,1
P01_medical,48.46,10.326,ATTENTIVE_NORMAL,0,0,0,0,1,13.2,1
P01_medical,49.467,11.333,ATTENTIVE_NORMAL,0,0,0,0,1,16.4,1
P01_medical,50.589,12.455,ATTENTIVE_NORMAL,0,0,0,0,1,20.8,1
P01_medical,51.594,13.46,ATTENTIVE_NORMAL,0,0,0,0,1,24.6,1
P01_medical,52.601,14.467,ATTENTIVE_NORMAL,0,0,0,0,1,27.8,1
P01_medical,53.651,15.517,ATTENTIVE_NORMAL,0,0,0,0,1,30.8,1
P01_medical,54.69,16.556,DISTRACTION_CONFIRMED,0,0,0,0,1,33.6,1
P01_medical,55.72,17.586,ATTENTIVE_NORMAL,0,0,0,0,1,34.8,1
P01_medical,56.766,18.632,DISTRACTION_CONFIRMED,0,0,0,0,1,37.2,1
P01_medical,57.778,19.644,DISTRACTION_CONFIRMED,0,0,0,0,1,37,1
P01_medical,58.924,20.79,DISTRACTION_CONFIRMED,0,0,0,0,1,36.6,1
P01_medical,59.967,21.833,DISTRACTION_CONFIRMED,0,0,0,0,1,36.2,1
P01_medical,61.07,22.936,DISTRACTION_CONFIRMED,0,0,0,0,1,36.2,1
P01_medical,62.088,23.954,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,36.2,1
