ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,MedicalEmergencyConfirmed,CriticalUnresponsive,HazardRequest,BrakeRequest,FaceFound,SpeedDisplayKmh,AlertsEnabled
P08_medical,31.566,0,ATTENTIVE_NORMAL,0,0,0,0,1,0,0
P08_medical,32.673,1.107,ATTENTIVE_NORMAL,0,0,0,0,1,1.2,0
P08_medical,33.782,2.216,DISTRACTION_CONFIRMED,0,0,0,0,1,2.6,0
P08_medical,34.801,3.235,ATTENTIVE_NORMAL,0,0,0,0,1,4.4,0
P08_medical,35.805,4.239,ATTENTIVE_NORMAL,0,0,0,0,1,6.2,0
P08_medical,36.823,5.257,ATTENTIVE_NORMAL,0,0,0,0,1,9,0
P08_medical,37.843,6.277,ATTENTIVE_NORMAL,0,0,0,0,1,13,1
P08_medical,38.932,7.366,ATTENTIVE_NORMAL,0,0,0,0,1,16.8,1
P08_medical,39.933,8.367,ATTENTIVE_NORMAL,0,0,0,0,1,27.2,1
P08_medical,40.981,9.415,ATTENTIVE_NORMAL,0,0,0,0,1,32.2,1
P08_medical,42.034,10.468,ATTENTIVE_NORMAL,0,0,0,0,1,35,1
P08_medical,43.045,11.479,ATTENTIVE_NORMAL,0,0,0,0,1,39.2,1
P08_medical,44.071,12.505,ATTENTIVE_NORMAL,0,0,0,0,1,44.8,1
P08_medical,45.197,13.631,ATTENTIVE_NORMAL,0,0,0,0,1,52.8,1
P08_medical,46.274,14.708,ATTENTIVE_NORMAL,0,0,0,0,1,60.6,1
P08_medical,47.293,15.727,ATTENTIVE_NORMAL,0,0,0,0,1,69.2,1
P08_medical,48.427,16.861,DISTRACTION_CONFIRMED,0,0,0,0,1,78,1
P08_medical,49.457,17.891,DISTRACTION_CONFIRMED,0,0,0,0,1,76,1
P08_medical,50.583,19.017,DISTRACTION_CONFIRMED,0,0,0,0,1,72.8,1
P08_medical,51.618,20.052,DISTRACTION_CONFIRMED,0,0,0,0,1,68.8,1
P08_medical,52.706,21.14,DISTRACTION_CONFIRMED,0,0,0,0,1,65.8,1
P08_medical,53.726,22.16,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,65.2,1
P08_medical,54.84,23.274,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,68,1
P08_medical,55.842,24.276,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,76.8,1
P08_medical,56.918,25.352,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,80.6,1
