ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,FrequentYawningAlert,ConfirmedDistractionFlag,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P04_normal,87.9,0,ATTENTIVE_NORMAL,1,0,0,0,0,0,0,0
P04_normal,88.98,1.08,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0
P04_normal,90.004,2.104,ATTENTIVE_NORMAL,0,0,0,0,0,0,1.2,0
P04_normal,91.053,3.153,ATTENTIVE_NORMAL,0,0,0,0,0,0,3.4,0
P04_normal,92.072,4.172,ATTENTIVE_NORMAL,0,0,0,0,0,0,8,0
P04_normal,93.15,5.25,ATTENTIVE_NORMAL,0,0,0,0,0,0,12,1
P04_normal,94.195,6.295,ATTENTIVE_NORMAL,0,0,0,0,0,0,16.2,1
P04_normal,95.24,7.34,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.4,1
P04_normal,96.336,8.436,ATTENTIVE_NORMAL,0,0,0,0,0,0,20,1
P04_normal,97.344,9.444,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.6,1
P04_normal,98.349,10.449,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.4,1
P04_normal,99.398,11.498,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.8,1
P04_normal,100.415,12.515,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.4,1
P04_normal,101.52,13.62,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.6,1
P04_normal,102.562,14.662,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.6,1
P04_normal,103.585,15.685,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.2,1
P04_normal,104.634,16.734,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.8,1
P04_normal,105.688,17.788,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.8,1
P04_normal,106.767,18.867,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
P04_normal,107.771,19.871,ATTENTIVE_NORMAL,0,0,0,0,0,0,24.2,1
P04_normal,108.885,20.985,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
P04_normal,109.92,22.02,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.8,1
P04_normal,110.939,23.039,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.4,1
P04_normal,112.024,24.124,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.2,1
P04_normal,113.048,25.148,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.2,1
P04_normal,114.093,26.193,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.2,1
P04_normal,115.113,27.213,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.6,1
P04_normal,116.176,28.276,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.8,1
P04_normal,117.211,29.311,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.8,1
P04_normal,118.287,30.387,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
