epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7975,0.22694,1.88526,0.87203,0.28337,0.47018,0.47866,0.47423,0.18333,1.87334,0.82382,0.000231992,0.000231992,0.0670902
2,183.936,0.17904,0.80274,0.84407,0.82295,0.9005,0.95092,0.94756,0.1528,0.92229,0.81007,0.000456112,0.000456112,0.033981
3,275.818,0.17294,0.60616,0.84109,0.89038,0.88563,0.97773,0.97659,0.14515,0.65505,0.79862,0.000670992,0.000670992,0.000862563
4,366.723,0.15386,0.47388,0.83307,0.97152,0.94092,0.9851,0.98484,0.13013,0.32563,0.791,0.00065842,0.00065842,0.00065842
5,455.735,0.15544,0.43476,0.83776,0.85861,0.94355,0.97862,0.97832,0.16349,0.43411,0.80342,0.00064456,0.00064456,0.00064456
6,546.041,0.14526,0.38539,0.83494,0.96127,0.9717,0.98085,0.98052,0.10757,0.29213,0.78402,0.0006307,0.0006307,0.0006307
7,636.401,0.13346,0.34846,0.8337,0.99261,0.98786,0.99074,0.99063,0.10401,0.21557,0.77754,0.00061684,0.00061684,0.00061684
8,723.827,0.12997,0.33243,0.83284,0.97413,0.97169,0.98716,0.987,0.09976,0.2486,0.78035,0.00060298,0.00060298,0.00060298
9,812.019,0.12876,0.33051,0.8313,0.99194,0.9886,0.99248,0.99162,0.10676,0.20089,0.77965,0.00058912,0.00058912,0.00058912
10,898.538,0.12466,0.31815,0.83364,0.98164,0.97311,0.99169,0.99127,0.10832,0.25133,0.78661,0.00057526,0.00057526,0.00057526
11,986.7,0.11974,0.28654,0.83369,0.96749,0.96242,0.98542,0.98519,0.11738,0.26115,0.78431,0.0005614,0.0005614,0.0005614
12,1072.43,0.11723,0.25336,0.83008,0.99405,0.98896,0.99267,0.99254,0.08275,0.14226,0.77669,0.00054754,0.00054754,0.00054754
13,1162.09,0.11568,0.25131,0.82665,0.99206,0.99215,0.99042,0.99029,0.07978,0.15159,0.7744,0.00053368,0.00053368,0.00053368
14,1248.45,0.11461,0.27026,0.83109,0.99683,0.99369,0.99272,0.99232,0.10136,0.15082,0.77859,0.00051982,0.00051982,0.00051982
15,1337.5,0.11131,0.25785,0.83348,0.98983,0.9882,0.99113,0.99053,0.08254,0.15258,0.77734,0.00050596,0.00050596,0.00050596
16,1424.09,0.10888,0.24998,0.83291,0.99751,0.99276,0.99138,0.99126,0.08152,0.13237,0.77489,0.0004921,0.0004921,0.0004921
17,1512.01,0.10697,0.23828,0.82582,0.99515,0.98753,0.99269,0.99243,0.08287,0.15192,0.77529,0.00047824,0.00047824,0.00047824
18,1597.5,0.10067,0.22109,0.82466,0.99506,0.99181,0.99222,0.99205,0.07132,0.11069,0.77281,0.00046438,0.00046438,0.00046438
19,1684.17,0.09713,0.20133,0.82828,0.97419,0.9798,0.98937,0.98916,0.07633,0.16063,0.77478,0.00045052,0.00045052,0.00045052
20,1768.99,0.09777,0.2123,0.82546,0.98658,0.9888,0.99084,0.99036,0.08272,0.16659,0.77765,0.00043666,0.00043666,0.00043666
21,1856.84,0.09113,0.19816,0.82764,0.9947,0.99119,0.9927,0.99253,0.07901,0.11359,0.77339,0.0004228,0.0004228,0.0004228
22,1942.95,0.09504,0.21176,0.82948,0.99842,0.99348,0.99278,0.99259,0.06983,0.11233,0.77341,0.00040894,0.00040894,0.00040894
23,2032.63,0.09013,0.1878,0.82647,0.997,0.99379,0.99243,0.99231,0.0692,0.12799,0.77402,0.00039508,0.00039508,0.00039508
24,2118.39,0.0913,0.18112,0.8292,0.99395,0.99466,0.9915,0.99125,0.06659,0.11201,0.77369,0.00038122,0.00038122,0.00038122
25,2206.79,0.08738,0.18321,0.82533,0.99677,0.99328,0.99271,0.99256,0.06172,0.10006,0.77198,0.00036736,0.00036736,0.00036736
26,2292.33,0.08414,0.1897,0.824,0.99323,0.99311,0.99142,0.99127,0.06379,0.11676,0.77303,0.0003535,0.0003535,0.0003535
27,2380.52,0.08411,0.18437,0.82594,0.99451,0.9925,0.99278,0.99265,0.05738,0.10016,0.77074,0.00033964,0.00033964,0.00033964
28,2466.39,0.07944,0.17042,0.8248,0.9954,0.99069,0.99278,0.99267,0.06575,0.10101,0.77378,0.00032578,0.00032578,0.00032578
29,2555.22,0.07779,0.17084,0.82492,0.99714,0.99225,0.99262,0.9925,0.05884,0.09176,0.77148,0.00031192,0.00031192,0.00031192
30,2641,0.07617,0.1693,0.82736,0.99774,0.99466,0.99262,0.9925,0.04593,0.08193,0.76893,0.00029806,0.00029806,0.00029806
31,2729.25,0.0705,0.16061,0.82374,0.99701,0.99444,0.9917,0.99155,0.05163,0.0904,0.76975,0.0002842,0.0002842,0.0002842
32,2815.61,0.07436,0.16373,0.82569,0.99421,0.98778,0.99267,0.99246,0.05226,0.09773,0.7698,0.00027034,0.00027034,0.00027034
33,2903.07,0.07146,0.15742,0.82483,0.98925,0.98705,0.99048,0.99037,0.05107,0.09971,0.77016,0.00025648,0.00025648,0.00025648
34,2988.96,0.0703,0.15386,0.82509,0.99677,0.99466,0.99272,0.9926,0.04787,0.08198,0.76876,0.00024262,0.00024262,0.00024262
35,3077.42,0.06715,0.14442,0.82355,0.99808,0.99642,0.99278,0.99267,0.04759,0.07797,0.76796,0.00022876,0.00022876,0.00022876
36,3166.1,0.06501,0.14039,0.82265,0.99623,0.99466,0.99149,0.99137,0.04196,0.07587,0.76882,0.0002149,0.0002149,0.0002149
37,3253.8,0.06372,0.14365,0.82343,0.99848,0.9949,0.99278,0.99267,0.04468,0.06947,0.76809,0.00020104,0.00020104,0.00020104
38,3344.06,0.06435,0.14588,0.82473,0.99831,0.99484,0.99278,0.99267,0.0435,0.07296,0.76782,0.00018718,0.00018718,0.00018718
39,3433.92,0.06109,0.13796,0.82578,0.99843,0.99497,0.99278,0.99267,0.04465,0.06999,0.76961,0.00017332,0.00017332,0.00017332
40,3524.17,0.06015,0.13076,0.82393,0.99665,0.99387,0.99267,0.99253,0.04035,0.07229,0.76816,0.00015946,0.00015946,0.00015946
41,3615.46,0.05636,0.10031,0.7805,0.99736,0.99466,0.98957,0.98946,0.04386,0.07532,0.76823,0.0001456,0.0001456,0.0001456
42,3699.86,0.05485,0.10403,0.78273,0.99666,0.99466,0.99017,0.99002,0.0434,0.07641,0.76796,0.00013174,0.00013174,0.00013174
43,3786.61,0.05282,0.08494,0.78337,0.99586,0.99395,0.99002,0.9899,0.04082,0.07436,0.76749,0.00011788,0.00011788,0.00011788
